2021-02-09 13:10:55.876		CAN-FD	0	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:55.878		CAN-FD	0	Rx	99999999  	8	06 50 03 00 64 01 F4 55                 	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 0 verdict: Passed

2021-02-09 13:10:55.909		CAN-FD	1	Tx	F3794DC   	10	17 5F E5 45 6F 98 5D AD 0D 42 A0 D7 00 5C D5 F7 	CAN_FD_raw_frame_invalid_frame | ID1_dlc_=_data | _14DA45F1
2021-02-09 13:10:56.012		CAN-FD	1	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:10:56.018		CAN-FD	1	Rx	99999999  	8	06 50 03 00 64 01 F4 55                 	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 1 verdict: Passed

2021-02-09 13:10:56.021		CAN-FD	2	Tx	F3794DC   	10	FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 	CAN_FD_raw_frame_invalid_frame | ID2_FF_based_pattern_data | _14DA45F1
2021-02-09 13:10:56.121		CAN-FD	2	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:10:56.127		CAN-FD	2	Rx	99999999  	8	06 50 03 00 64 01 F4 55                 	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 2 verdict: Passed

2021-02-09 13:10:56.131		CAN-FD	3	Tx	F3794DC   	10	00 FF 0F 10 FF 7F 7F FE FE 01 FF 0E 01 0E 7F FF 	CAN_FD_raw_frame_invalid_frame | ID3_pseudo_random_pattern_data | _14DA45F1
2021-02-09 13:10:56.233		CAN-FD	3	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:10:56.237		CAN-FD	3	Rx	99999999  	8	06 50 03 00 64 01 F4 55                 	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 3 verdict: Passed

2021-02-09 13:10:56.239		CAN-FD	4	Tx	28C       	1	09                                      	CAN_FD_raw_frame_invalid_frame | ID4_dlc_=_data | _14DA45F1
2021-02-09 13:10:56.341		CAN-FD	4	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
